title	originalKey	tom_Ricardo	tom_Kariny	tom_Luiz	chordpro	status	isNew	videoCompleta	videoCongregacional
Te agradeço						bem	FALSE		
Digno de glória						bem	FALSE		
Quem nos separará						bem	FALSE		
Seja engrandecido						bem	FALSE		
Os que confiam no Senhor						bem	FALSE		
És a nossa estrela da manhã						bem	FALSE		
Se não for para te adorar						bem	FALSE		
Eu vejo a glória do Senhor hj aqui						bem	FALSE		
Eu navegarei						bem	FALSE		
E ele vem						bem	FALSE		
Ao único						bem	FALSE		
Derrame teu poder (Sergio Lopes)						bem	FALSE		
Luz do Mundo						bem	FALSE		
Corpo e família						bem	FALSE		
Renova-me						bem	FALSE		
Eu te busco						bem	FALSE		
Firme nas promessas (Novo cântico 177)						bem	FALSE		
Emanuel / Purples						bem	FALSE		
Leão de Judá						bem	FALSE		
Solta o cabo da nau						bem	FALSE		
